                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.96223,                 0.6465,                 1.0062,                0.88157,                0.86261,                0.89872,                0.53429,                 1.4238,                0.78443,                 1.3013,               0.000812,               0.000812,               0.000812
                     62,                0.98144,                0.62287,                 1.0181,                0.85822,                0.90129,                0.90547,                0.53914,                 1.4055,                0.75266,                 1.3015,              0.0007922,              0.0007922,              0.0007922
                     63,                0.91077,                0.59977,                 1.0017,                 0.8804,                0.90129,                 0.9096,                0.54262,                 1.4272,                 0.7525,                 1.3086,              0.0007724,              0.0007724,              0.0007724
                     64,                0.93242,                 0.5949,                 1.0036,                0.88827,                0.87124,                0.90236,                0.55135,                 1.3783,                0.74667,                 1.2851,              0.0007526,              0.0007526,              0.0007526
                     65,                0.91729,                0.58514,                0.99489,                 0.8849,                0.89092,                0.90167,                 0.5337,                 1.3766,                0.72883,                 1.2945,              0.0007328,              0.0007328,              0.0007328
                     66,                0.93661,                0.61133,                 1.0171,                0.88146,                0.89363,                0.91019,                0.54013,                 1.3768,                0.74297,                 1.2972,               0.000713,               0.000713,               0.000713
                     67,                0.94715,                0.61484,                0.99678,                0.89885,                0.88841,                0.90493,                0.52349,                 1.3861,                0.74659,                 1.3005,              0.0006932,              0.0006932,              0.0006932
                     68,                0.92905,                0.59256,                0.97171,                0.91166,                0.83691,                0.90699,                 0.5273,                 1.4295,                0.77915,                 1.3196,              0.0006734,              0.0006734,              0.0006734
                     69,                0.89605,                0.57007,                0.99257,                0.88673,                0.83996,                0.90114,                0.51843,                 1.4466,                0.79185,                 1.3564,              0.0006536,              0.0006536,              0.0006536
                     70,                0.88212,                0.57796,                0.98478,                0.84905,                0.86907,                0.90208,                0.52303,                 1.4272,                 0.8088,                 1.3419,              0.0006338,              0.0006338,              0.0006338
                     71,                0.90147,                0.56917,                0.98529,                0.88809,                0.85837,                0.89894,                0.53011,                 1.3915,                0.76351,                 1.3256,               0.000614,               0.000614,               0.000614
                     72,                0.91734,                  0.602,                 1.0008,                 0.9069,                0.83613,                0.89832,                0.54163,                 1.3952,                0.75366,                 1.3223,              0.0005942,              0.0005942,              0.0005942
                     73,                0.85294,                0.57155,                0.95883,                0.88428,                0.82833,                0.87915,                0.53148,                 1.4115,                0.78548,                 1.3253,              0.0005744,              0.0005744,              0.0005744
                     74,                0.86187,                0.58226,                0.98212,                0.88936,                0.83262,                0.88715,                0.53044,                  1.425,                0.80263,                 1.3276,              0.0005546,              0.0005546,              0.0005546
                     75,                0.85916,                0.53826,                0.97776,                0.87461,                0.83824,                0.89251,                0.52874,                 1.4476,                 0.7921,                 1.3441,              0.0005348,              0.0005348,              0.0005348
                     76,                0.86082,                0.55616,                0.96241,                0.89551,                0.84549,                0.89697,                0.53698,                 1.3975,                0.77302,                  1.335,               0.000515,               0.000515,               0.000515
                     77,                0.83679,                0.54832,                0.97332,                0.91348,                0.86266,                0.90788,                0.54729,                 1.4172,                0.77039,                 1.3287,              0.0004952,              0.0004952,              0.0004952
                     78,                0.83851,                0.55182,                0.96066,                0.90338,                0.84265,                0.90686,                0.54008,                 1.4165,                0.74577,                 1.3425,              0.0004754,              0.0004754,              0.0004754
                     79,                0.84306,                0.55133,                0.97407,                0.87697,                0.87554,                0.89835,                0.53334,                 1.4359,                0.76887,                 1.3406,              0.0004556,              0.0004556,              0.0004556
                     80,                0.79605,                0.52884,                0.97918,                0.88599,                0.87124,                0.89517,                0.52935,                 1.4431,                0.79959,                 1.3535,              0.0004358,              0.0004358,              0.0004358
                     81,                 0.8093,                0.53161,                0.94857,                0.88996,                0.85408,                0.88656,                0.51958,                 1.4557,                0.82641,                  1.362,               0.000416,               0.000416,               0.000416
                     82,                0.83474,                0.53821,                0.95645,                 0.9285,                0.83603,                 0.8874,                0.52514,                 1.4533,                0.81172,                 1.3463,              0.0003962,              0.0003962,              0.0003962
                     83,                0.81993,                0.53142,                0.95919,                0.90779,                0.84502,                 0.8925,                0.53257,                 1.4306,                0.77642,                 1.3405,              0.0003764,              0.0003764,              0.0003764
